area,bedrooms,bathrooms,stories,age,price
3674,4,3,2,16,842100
1360,1,1,2,27,300000
1794,1,1,2,25,329000
1630,2,3,1,8,478500
1595,1,1,2,21,300000
3592,3,3,2,18,765000
2138,4,1,1,28,424500
2669,1,1,3,13,449400
966,1,3,1,7,300000
1738,2,1,2,8,380500
830,2,3,1,21,300000
1982,3,1,3,10,466600
2635,4,1,1,22,562000
3944,2,2,2,0,843500
3671,1,2,3,13,583900
3419,4,3,2,4,741700
630,4,2,3,20,380700
2185,1,3,3,25,389600
3880,2,2,1,13,678200
1269,1,1,1,3,356500
2891,4,3,2,21,721100
2015,5,3,1,22,574500
3985,5,1,1,24,838500
3353,3,3,3,0,820800
2933,1,3,1,21,565600
1715,1,2,3,22,374700
1455,3,3,3,18,454400
2824,3,1,3,7,626800
1684,3,2,2,14,436200
959,4,2,2,20,364300
3885,1,1,2,14,645400
521,4,1,3,8,321500
2800,3,2,2,20,578700
1247,1,3,2,8,315900
3404,4,2,1,9,740200
974,4,1,2,19,342700
1582,3,2,2,24,349300
3058,1,1,3,20,602900
2547,3,2,3,25,512700
3247,1,3,3,8,596600
1475,5,2,3,2,494500
2306,2,2,3,19,492500
689,2,1,3,24,300000
3505,2,1,2,25,567200
3234,3,1,3,10,671400
3505,5,2,3,5,857400
1062,1,3,1,1,300000
2399,4,1,2,6,551300
1767,1,1,2,17,398700
3379,4,2,2,26,728500
2028,1,1,3,1,331200
3702,5,3,3,26,899900
1146,4,3,3,16,395700
2568,3,1,1,10,654900
3388,1,1,3,26,539400
2714,1,2,1,11,535600
1797,4,3,2,26,424300
2935,3,3,3,18,592900
1100,3,1,1,21,356400
2863,5,2,1,23,706200
2561,3,3,3,24,657800
741,3,3,2,6,358600
2541,3,2,2,19,559000
3324,2,2,2,5,717100
3917,5,3,1,20,928000
3112,1,3,1,23,552900
3445,4,2,1,0,733000
1863,1,3,1,16,300000
2639,5,1,2,28,602300
1890,4,1,3,10,446000
3503,5,2,1,21,897400
1978,3,2,1,25,430700
3999,4,2,2,27,778700
3056,3,1,3,17,543600
1275,1,3,3,20,300000
534,1,1,2,16,300000
2753,4,3,2,6,760500
3652,4,1,3,16,752500
2455,5,3,1,19,669900
2085,5,1,3,8,571400
3959,3,2,2,16,803300
3573,4,1,1,19,709900
1521,1,3,1,21,352800
3961,5,1,2,21,896700
3113,5,1,2,27,711400
1629,1,1,2,28,300000
2000,5,2,3,7,557900
1202,3,1,3,16,317300
2949,4,2,1,6,712900
3277,1,2,2,0,540200
2079,4,1,1,12,551100
661,5,1,1,29,329500
701,5,1,1,22,335200
2481,1,3,1,18,449800
1495,3,1,2,26,333200
2817,2,2,1,23,560400
1315,1,1,2,18,300000
3842,2,3,2,29,688300
955,2,1,3,29,300000
1775,3,3,2,28,470600
1516,2,3,3,16,335400
2843,2,1,2,12,555300
3267,3,2,2,28,744100
837,2,3,2,29,300000
1378,2,1,3,15,300000
1576,2,1,3,7,359500
1291,1,2,1,18,300000
2764,1,3,3,17,647300
1263,1,3,3,0,418900
2735,3,1,3,13,537600
879,5,1,3,18,300000
992,2,2,1,14,300000
3612,2,2,3,17,660600
1680,3,3,2,1,419500
2562,2,3,2,21,529500
564,1,1,3,27,300000
3068,5,3,3,16,773200
1867,4,2,2,17,515200
1652,2,2,2,29,311200
2527,1,1,1,5,414900
3195,4,2,2,18,705100
1995,5,2,2,3,578000
3634,4,2,3,0,841400
1662,1,2,2,7,346700
2022,4,1,1,28,551900
3140,3,1,2,22,639800
891,4,3,3,6,455800
2198,2,2,3,2,491000
918,2,3,2,9,316000
2836,3,1,3,9,656700
878,1,1,1,18,300000
2296,2,1,1,13,470300
2778,5,1,2,1,684100
3565,2,1,2,27,600000
2588,2,1,2,0,471400
3599,1,1,3,22,546100
2682,4,2,1,22,581200
700,2,3,1,27,300000
2363,3,1,3,17,542100
1279,4,2,1,6,436100
3477,5,2,2,28,784700
3604,1,3,2,7,660500
3619,5,1,2,0,790400
1002,4,3,1,24,426800
2954,4,1,2,22,655200
2251,4,2,3,2,517900
1304,5,2,3,23,448300
2646,4,2,1,22,577600
3231,5,2,3,26,727000
2395,4,3,3,28,566400
3273,3,1,1,7,655100
2070,4,1,2,21,485300
1460,5,3,2,24,497000
3160,2,1,2,14,620300
1985,4,2,1,4,572000
3190,2,1,3,2,576300
1528,3,2,2,18,381000
3789,1,3,2,0,728000
1002,3,1,1,27,300000
3314,4,3,2,14,734900
897,2,1,1,7,300000
1370,2,2,3,1,437400
3342,5,3,1,2,813800
892,2,1,1,23,300000
706,5,2,1,13,434000
1538,1,3,1,23,393700
2381,4,3,3,13,596000
3439,5,1,3,10,769100
1984,1,1,2,15,329600
1363,2,1,3,3,373500
3290,2,2,3,19,592800
3812,1,1,2,4,673000
1063,2,3,3,21,334600
1520,1,3,1,20,326100
595,5,1,1,13,395200
2423,5,1,2,22,603800
2257,1,3,2,15,481900
3032,5,2,2,17,711000
3978,5,1,1,6,835800
2778,5,1,3,9,707900
3296,3,3,1,6,739600
2178,4,1,2,0,566400
3742,2,2,3,22,663600
1040,3,3,3,20,418000
1559,5,1,1,18,433200
3072,1,3,2,15,523900
1683,5,1,1,28,514100
2222,4,1,3,18,561700
3814,5,1,1,3,860300
3657,1,2,1,28,591000
2319,4,2,2,27,573900
3125,5,3,2,17,843600
3229,4,1,3,1,813000
3104,2,1,1,0,529300
2097,2,2,1,14,429800
3560,5,1,1,4,786700
3193,4,2,3,19,766000
1295,1,1,3,10,300000
1551,5,3,2,9,575200
2143,2,1,2,1,439200
1863,2,1,2,2,471000
2481,5,2,1,22,698200
1854,4,1,1,22,478700
2163,2,1,2,11,369300
2029,4,2,1,19,503400
2538,2,3,2,4,544100
3919,2,3,3,4,716800
1996,3,2,2,5,545600
3802,2,2,3,29,614200
2737,1,2,1,8,583200
3796,5,2,2,1,955900
1908,5,2,1,20,540800
1900,4,3,3,11,566100
1806,2,3,3,2,454000
3180,1,2,3,19,585100
3175,4,1,1,25,707200
1472,3,2,1,21,399100
2268,4,1,1,11,567000
1782,4,2,1,23,456500
3930,2,2,3,16,735000
1209,3,3,3,9,409900
1979,4,1,2,29,432400
1934,1,1,2,23,323500
1148,1,3,1,26,300000
817,5,3,3,13,412200
3796,3,3,3,22,719500
1757,3,3,3,16,474100
1183,5,1,2,17,392200
1163,4,1,2,18,349600
2498,3,2,3,16,595700
3945,1,2,3,13,701000
2131,1,3,3,8,404500
1995,2,3,2,7,489300
3804,3,3,3,1,813900
1636,4,2,3,12,549500
2353,5,2,1,24,670300
2020,5,2,1,6,539700
2989,4,2,2,8,726800
1063,2,2,3,21,328100
1791,5,2,3,21,559000
3957,3,2,1,10,770100
3958,2,3,2,13,854200
3684,3,3,1,3,812700
2136,1,3,1,25,489500
3499,2,3,1,25,718900
3652,5,2,1,28,820400
1198,2,1,3,12,300000
2660,2,2,3,1,556000
501,2,1,1,22,300000
1141,2,3,2,4,304600
2767,3,2,2,10,631100
2089,1,3,2,5,506000
1354,4,2,2,17,417200
2259,2,3,1,20,575400
3796,5,1,3,9,769100
2932,2,1,2,3,606000
3974,5,1,1,8,927000
2161,3,2,2,5,516000
1653,5,1,2,1,518500
1576,4,2,1,16,506100
2207,1,1,3,4,423300
3277,5,1,3,24,643700
2195,5,2,1,5,595500
2233,1,2,3,25,394400
1939,4,1,1,11,444100
2794,2,2,1,22,516100
1335,5,1,1,20,386500
702,1,2,3,9,300000
3755,3,3,1,21,747800
622,1,3,2,20,300000
900,3,3,3,26,319300
1266,4,3,3,24,452000
793,2,3,3,5,314300
2827,1,1,3,26,493300
3431,5,3,2,7,875600
697,4,3,3,1,423300
3529,1,3,3,11,771500
